GEO CODE,STATE,JURISDICTION NAME,PPRN FY2012
49017,AZ,Navajo County,"$237,487 "
49019,AZ,PIMA COUNTY,"$1,289,737 "
49021,AZ,Pinal County,"$315,258 "
49023,AZ,Santa Cruz County,"$94,950 "
49025,AZ,Yavapai County,"$201,826 "
49027,AZ,Yuma County,"$181,542 "
50228,AR,BENTONVILLE,"$34,469 "
50600,AR,CONWAY,"$76,636 "
50894,AR,FAYETTEVILLE,"$117,691 "
50930,AR,FORT SMITH,"$148,860 "
51302,AR,HOT SPRINGS,"$71,091 "
51374,AR,JACKSONVILLE,"$48,874 "
51410,AR,JONESBORO,"$100,310 "
51560,AR,LITTLE ROCK,"$805,212 "
51938,AR,NORTH LITTLE ROCK,"$136,180 "
52130,AR,PINE BLUFF,"$130,551 "
52304,AR,ROGERS,"$76,877 "
52466,AR,SPRINGDALE,"$93,690 "
52556,AR,TEXARKANA,"$56,877 "
52754,AR,WEST MEMPHIS,"$74,936 "
59001,AR,Arkansas County,"$49,167 "
59003,AR,Ashley County,"$42,790 "
59005,AR,Baxter County,"$49,041 "
59007,AR,Benton County,"$150,079 "
59009,AR,Boone County,"$64,904 "
59011,AR,Bradley County,"$34,892 "
59013,AR,Calhoun County,"$11,093 "
59015,AR,Carroll County,"$62,169 "
59017,AR,Chicot County,"$35,324 "
59019,AR,Clark County,"$50,342 "
59021,AR,Clay County,"$45,680 "
59023,AR,Cleburne County,"$35,722 "
59025,AR,Cleveland County,"$13,903 "
59027,AR,Columbia County,"$49,196 "
59029,AR,Conway County,"$40,626 "
59031,AR,Craighead County,"$38,689 "
59033,AR,Crawford County,"$101,546 "
59035,AR,Crittenden County,"$51,675 "
59037,AR,Cross County,"$41,165 "
59039,AR,Dallas County,"$19,174 "
59041,AR,Desha County,"$39,053 "
59043,AR,Drew County,"$35,271 "
59045,AR,Faulkner County,"$56,071 "
59047,AR,Franklin County,"$37,716 "
59049,AR,Fulton County,"$24,061 "
59051,AR,Garland County,"$71,575 "
59053,AR,Grant County,"$24,863 "
59055,AR,Greene County,"$60,673 "
59057,AR,Hempstead County,"$52,121 "
59059,AR,Hot Spring County,"$50,435 "
59061,AR,Howard County,"$28,929 "
59063,AR,Independence County,"$55,862 "
59065,AR,Izard County,"$24,667 "
59067,AR,Jackson County,"$28,856 "
59069,AR,Jefferson County,"$38,443 "
59071,AR,Johnson County,"$50,275 "
59073,AR,Lafayette County,"$19,560 "
59075,AR,Lawrence County,"$36,832 "
59077,AR,Lee County,"$28,036 "
59079,AR,Lincoln County,"$24,566 "
59081,AR,Little River County,"$23,472 "
59083,AR,Logan County,"$59,351 "
59085,AR,Lonoke County,"$74,790 "
59087,AR,Madison County,"$35,496 "
59089,AR,Marion County,"$27,935 "
59091,AR,Miller County,"$21,010 "
59093,AR,Mississippi County,"$118,841 "
59095,AR,Monroe County,"$25,921 "
59097,AR,Montgomery County,"$18,317 "
59099,AR,Nevada County,"$20,667 "
59101,AR,Newton County,"$20,423 "
59103,AR,Ouachita County,"$54,316 "
59105,AR,Perry County,"$16,529 "
59107,AR,Phillips County,"$77,783 "
59109,AR,Pike County,"$20,917 "
59111,AR,Poinsett County,"$50,424 "
59113,AR,Polk County,"$43,366 "
59115,AR,Pope County,"$89,565 "
59117,AR,Prairie County,"$24,856 "
59119,AR,Pulaski County,"$112,819 "
59121,AR,Randolph County,"$31,249 "
59123,AR,St. Francis County,"$68,125 "
59125,AR,Saline County,"$101,491 "
59127,AR,Scott County,"$24,581 "
59129,AR,Searcy County,"$25,723 "
59131,AR,Sebastian County,"$47,127 "
59133,AR,Sevier County,"$40,427 "
59135,AR,Sharp County,"$31,099 "
59137,AR,Stone County,"$21,241 "
59139,AR,Union County,"$99,261 "
59141,AR,Van Buren County,"$27,870 "
59143,AR,Washington County,"$96,246 "
59145,AR,White County,"$106,205 "
59147,AR,Woodruff County,"$20,185 "
59149,AR,Yell County,"$41,797 "
60012,CA,ALAMEDA,"$244,037 "
60030,CA,ALHAMBRA,"$245,829 "
60078,CA,ANAHEIM,"$2,403,713 "
60102,CA,ANTIOCH,"$129,521 "
60108,CA,APPLE VALLEY,"$114,009 "
60228,CA,BAKERSFIELD,"$1,622,912 "
60234,CA,BALDWIN PARK,"$262,636 "
60288,CA,BELLFLOWER,"$211,494 "
60324,CA,BERKELEY,"$1,572,654 "
60450,CA,BUENA PARK,"$180,861 "
60456,CA,BURBANK,"$209,406 "
60516,CA,CAMARILLO,"$63,956 "
60564,CA,CARLSBAD,"$91,487 "
60594,CA,CARSON,"$195,263 "
60654,CA,CERRITOS,"$67,906 "
60684,CA,CHICO,"$173,083 "
60708,CA,CHINO,"$111,939 "
60709,CA,CHINO HILLS,"$75,330 "
60720,CA,CHULA VISTA,"$970,050 "
60726,CA,CITRUS HEIGHTS,"$114,673 "
60756,CA,CLOVIS CITY,"$115,632 "
60804,CA,COMPTON,"$994,390 "
60810,CA,CONCORD,"$182,599 "
60828,CA,CORONA,"$214,556 "
60846,CA,COSTA MESA,"$243,510 "
60906,CA,CUPERTINO CITY,"$69,983 "
60930,CA,DALY CITY,"$221,953 "
60942,CA,DAVIS,"$144,482 "
60960,CA,DELANO CITY,"$148,057 "
61032,CA,DOWNEY,"$264,957 "
61116,CA,EL CAJON,"$223,744 "
61122,CA,EL CENTRO,"$120,453 "
61146,CA,ELK GROVE,"$90,206 "
61152,CA,EL MONTE,"$1,302,129 "
61212,CA,ENCINITAS,"$72,075 "
61230,CA,ESCONDIDO,"$310,829 "
61266,CA,FAIRFIELD,"$146,287 "
61332,CA,FONTANA,"$1,020,821 "
61380,CA,FOUNTAIN VALLEY,"$62,728 "
61404,CA,FREMONT,"$296,994 "
61410,CA,FRESNO,"$3,685,448 "
61416,CA,FULLERTON,"$270,167 "
61428,CA,GARDENA,"$164,016 "
61440,CA,GARDEN GROVE,"$1,253,441 "
61452,CA,GILROY CITY,"$88,166 "
61464,CA,GLENDALE,"$1,577,306 "
61470,CA,GLENDORA CITY,"$59,767 "
61476,CA,GOLETA,"$48,021 "
61566,CA,HANFORD,"$96,634 "
61596,CA,HAWTHORNE,"$305,426 "
61602,CA,HAYWARD,"$308,082 "
61614,CA,HEMET,"$125,922 "
61638,CA,HESPERIA,"$131,970 "
61692,CA,HUNTINGTON BEACH,"$244,662 "
61698,CA,HUNTINGTON PARK,"$769,042 "
61728,CA,INDIO CITY,"$171,359 "
61740,CA,INGLEWOOD,"$1,075,093 "
61750,CA,IRVINE,"$239,784 "
61854,CA,LAGUNA NIGUEL,"$60,018 "
61860,CA,LA HABRA,"$145,261 "
61869,CA,LAKE FOREST,"$85,699 "
61890,CA,LAKEWOOD,"$128,319 "
61896,CA,LA MESA,"$78,873 "
61914,CA,LANCASTER,"$246,716 "
62034,CA,LIVERMORE,"$82,155 "
62046,CA,LODI,"$133,966 "
62088,CA,LONG BEACH,"$4,174,777 "
62118,CA,LOS ANGELES,"$34,537,716 "
62148,CA,LYNWOOD,"$280,919 "
62166,CA,MADERA,"$173,632 "
62250,CA,MERCED,"$223,966 "
62274,CA,MILPITAS CITY,"$105,617 "
62286,CA,MISSION VIEJO,"$87,451 "
62292,CA,MODESTO,"$1,127,996 "
62328,CA,MONTEBELLO,"$187,187 "
62334,CA,MONTEREY,"$50,016 "
62340,CA,MONTEREY PARK,"$173,229 "
62367,CA,MORENO VALLEY,"$320,894 "
62382,CA,MOUNTAIN VIEW,"$122,745 "
62406,CA,NAPA CITY,"$121,911 "
62412,CA,NATIONAL CITY,"$195,518 "
62454,CA,NEWPORT BEACH,"$64,186 "
62490,CA,NORWALK,"$274,406 "
62508,CA,OAKLAND,"$4,053,381 "
62532,CA,OCEANSIDE,"$876,869 "
62556,CA,ONTARIO,"$1,167,898 "
62568,CA,ORANGE,"$237,345 "
62622,CA,OXNARD,"$1,322,273 "
62658,CA,PALMDALE,"$269,045 "
62670,CA,PALM DESERT,"$63,369 "
62676,CA,PALM SPRINGS,"$90,224 "
62682,CA,PALO ALTO,"$120,247 "
62700,CA,PARADISE,"$39,546 "
62706,CA,PARAMOUNT CITY,"$215,090 "
62724,CA,PASADENA,"$1,099,688 "
62754,CA,PERRIS CITY,"$115,560 "
62760,CA,PETALUMA,"$61,743 "
62766,CA,PICO RIVERA,"$161,738 "
62790,CA,PITTSBURG,"$116,996 "
62826,CA,PLEASANTON CITY,"$49,463 "
62850,CA,POMONA,"$1,364,853 "
62862,CA,PORTERVILLE,"$143,591 "
62928,CA,RANCHO CORDOVA CITY,"$124,211 "
62930,CA,RANCHO CUCAMONGA,"$182,108 "
62949,CA,RANCHO SANTA MARGARITA,"$43,900 "
62958,CA,REDDING,"$148,898 "
62964,CA,REDLANDS,"$101,516 "
62970,CA,REDONDO BEACH,"$72,678 "
62976,CA,REDWOOD CITY,"$129,532 "
62988,CA,RIALTO,"$237,086 "
63000,CA,RICHMOND,"$243,534 "
63048,CA,RIVERSIDE,"$1,623,678 "
63054,CA,ROCKLIN CITY,"$36,720 "
63102,CA,ROSEMEAD,"$203,888 "
63108,CA,ROSEVILLE,"$93,823 "
63144,CA,SACRAMENTO,"$2,795,818 "
63162,CA,SALINAS,"$1,188,809 "
63180,CA,SAN BERNARDINO,"$1,735,270 "
63198,CA,SAN CLEMENTE,"$71,048 "
63210,CA,SAN DIEGO,"$7,275,070 "
63228,CA,SAN FRANCISCO,"$9,939,101 "
63258,CA,SAN JOSE,"$4,894,182 "
63276,CA,SAN LEANDRO,"$130,027 "
63294,CA,SAN MARCOS CITY,"$125,881 "
63312,CA,SAN MATEO,"$140,903 "
63342,CA,SANTA ANA,"$3,324,858 "
63348,CA,SANTA BARBARA,"$192,331 "
63354,CA,SANTA CLARA,"$194,100 "
63356,CA,SANTA CLARITA,"$201,148 "
63360,CA,SANTA CRUZ,"$109,176 "
63372,CA,SANTA MARIA,"$227,648 "
63384,CA,SANTA MONICA,"$247,831 "
63396,CA,SANTA ROSA,"$224,922 "
63408,CA,SANTEE,"$56,976 "
63444,CA,SEASIDE,"$72,857 "
63480,CA,SIMI VALLEY,"$128,917 "
63528,CA,SOUTH GATE,"$1,013,738 "
63564,CA,SOUTH SAN FRANCISCO,"$107,687 "
63624,CA,STOCKTON,"$2,020,145 "
63660,CA,SUNNYVALE,"$221,662 "
63732,CA,THOUSAND OAKS,"$120,352 "
63744,CA,TORRANCE,"$208,901 "
63768,CA,TULARE,"$128,046 "
63798,CA,TURLOCK,"$133,382 "
63804,CA,TUSTIN,"$144,887 "
63846,CA,UNION CITY,"$115,884 "
63852,CA,UPLAND,"$126,006 "
63858,CA,VACAVILLE,"$98,852 "
63876,CA,VALLEJO,"$208,368 "
63888,CA,SAN BUENAVENTURA,"$155,264 "
63900,CA,VICTORVILLE,"$166,783 "
63918,CA,VISALIA,"$220,230 "
63924,CA,VISTA,"$212,315 "
63942,CA,WALNUT CREEK,"$56,527 "
63966,CA,WATSONVILLE,"$153,575 "
64002,CA,WEST COVINA,"$211,737 "
64014,CA,WESTMINSTER,"$222,232 "
64074,CA,WHITTIER,"$166,974 "
64134,CA,WOODLAND,"$104,402 "
64158,CA,YORBA LINDA,"$48,625 "
64176,CA,YUBA CITY,"$101,430 "
69001,CA,ALAMEDA COUNTY,"$940,361 "
69003,CA,Alpine County,"$11,706 "
69005,CA,Amador County,"$81,924 "
69007,CA,Butte County,"$279,882 "
69009,CA,Calaveras County,"$88,017 "
69011,CA,Colusa County,"$65,120 "
69013,CA,CONTRA COSTA COUNTY,"$1,667,895 "
69015,CA,Del Norte County,"$66,396 "
69017,CA,El Dorado County,"$248,668 "
69019,CA,FRESNO COUNTY,"$1,918,791 "
69021,CA,Glenn County,"$102,857 "
69023,CA,Humboldt County,"$506,417 "
69025,CA,Imperial County,"$360,729 "
69027,CA,Inyo County,"$50,200 "
69029,CA,KERN COUNTY,"$2,549,237 "
69031,CA,Kings County,"$243,877 "
69033,CA,Lake County,"$149,693 "
69035,CA,Lassen County,"$91,373 "
69037,CA,LOS ANGELES COUNTY,"$14,275,655 "
69039,CA,Madera County,"$184,666 "
69041,CA,Marin County,"$285,576 "
69043,CA,Mariposa County,"$40,828 "
69045,CA,Mendocino County,"$262,782 "
69047,CA,Merced County,"$483,956 "
69049,CA,Modoc County,"$47,343 "
69051,CA,Mono County,"$27,226 "
69053,CA,Monterey County,"$478,786 "
69055,CA,Napa County,"$131,264 "
69057,CA,Nevada County,"$205,936 "
69059,CA,ORANGE COUNTY,"$1,813,230 "
69061,CA,Placer County,"$252,037 "
69063,CA,Plumas County,"$69,989 "
69065,CA,RIVERSIDE COUNTY,"$4,302,603 "
69067,CA,SACRAMENTO COUNTY,"$2,806,264 "
69069,CA,San Benito County,"$117,381 "
69071,CA,SAN BERNARDINO COUNTY,"$3,430,600 "
69073,CA,SAN DIEGO COUNTY,"$2,270,539 "
69077,CA,SAN JOAQUIN COUNTY,"$1,350,951 "
69079,CA,SAN LUIS OBISPO COUNTY,"$1,009,280 "
69081,CA,SAN MATEO COUNTY,"$1,371,127 "
69083,CA,SANTA BARBARA COUNTY,"$973,576 "
69085,CA,SANTA CLARA COUNTY,"$847,763 "
69087,CA,Santa Cruz County,"$358,853 "
69089,CA,Shasta County,"$182,320 "
69091,CA,Sierra County,"$26,033 "
69093,CA,Siskiyou County,"$197,301 "
69095,CA,Solano County,"$152,057 "
69097,CA,SONOMA COUNTY,"$956,161 "
69099,CA,STANISLAUS COUNTY,"$1,228,597 "
69101,CA,Sutter County,"$85,709 "
69103,CA,Tehama County,"$155,994 "
69105,CA,Trinity County,"$39,370 "
69107,CA,Tulare County,"$768,434 "
69109,CA,Tuolumne County,"$118,437 "
69111,CA,VENTURA COUNTY,"$965,913 "
69113,CA,Yolo County,"$185,934 "
69115,CA,Yuba County,"$185,894 "
80054,CO,ARVADA,"$91,312 "
80072,CO,AURORA,"$1,200,144 "
80144,CO,BOULDER,"$169,131 "
80180,CO,BROOMFIELD CITY/COUNTY,"$40,485 "
80238,CO,CENTENNIAL,"$54,169 "
80288,CO,COLORADO SPRINGS,"$1,244,890 "
80390,CO,DENVER,"$4,246,233 "
80552,CO,FORT COLLINS,"$183,070 "
80672,CO,GRAND JUNCTION,"$65,137 "
80690,CO,GREELEY,"$156,579 "
80906,CO,LAKEWOOD,"$162,534 "
80978,CO,LONGMONT,"$97,813 "
80990,CO,LOVELAND,"$54,552 "
81278,CO,PUEBLO,"$300,030 "
81524,CO,THORNTON,"$100,831 "
81614,CO,WESTMINSTER,"$100,490 "
89001,CO,ADAMS COUNTY,"$726,864 "
89003,CO,Alamosa County,"$34,967 "
89005,CO,Arapahoe County,"$183,261 "
89007,CO,Archuleta County,"$15,498 "
89009,CO,Baca County,"$10,231 "
89011,CO,Bent County,"$15,389 "
89013,CO,Boulder County,"$91,909 "
89015,CO,Chaffee County,"$31,989 "
89017,CO,Cheyenne County,"$4,570 "
89019,CO,Clear Creek County,"$17,991 "
89021,CO,Conejos County,"$21,588 "
89023,CO,Costilla County,"$10,827 "
89025,CO,Crowley County,"$10,803 "
89027,CO,Custer County,"$8,352 "
89029,CO,Delta County,"$50,593 "
89033,CO,Dolores County,"$3,073 "
89035,CO,Douglas County,"$150,258 "
89037,CO,Eagle County,"$66,003 "
89039,CO,Elbert County,"$16,677 "
89041,CO,El Paso County,"$167,233 "
89043,CO,Fremont County,"$66,248 "
89045,CO,Garfield County,"$64,619 "
89047,CO,Gilpin County,"$8,826 "
89049,CO,Grand County,"$15,631 "
89051,CO,Gunnison County,"$23,591 "
89053,CO,Hinsdale County,"$1,252 "
89055,CO,Huerfano County,"$22,861 "
89057,CO,Jackson County,"$4,626 "
89059,CO,Jefferson County,"$195,751 "
89061,CO,Kiowa County,"$3,429 "
89063,CO,Kit Carson County,"$16,092 "
89065,CO,Lake County,"$21,478 "
89067,CO,La Plata County,"$64,119 "
89069,CO,Larimer County,"$78,224 "
89071,CO,Las Animas County,"$49,265 "
89073,CO,Lincoln County,"$11,632 "
89075,CO,Logan County,"$41,616 "
89077,CO,Mesa County,"$96,856 "
89079,CO,Mineral County,"$2,929 "
89081,CO,Moffat County,"$17,264 "
89083,CO,Montezuma County,"$45,637 "
89085,CO,Montrose County,"$56,101 "
89087,CO,Morgan County,"$52,760 "
89089,CO,Otero County,"$55,709 "
89091,CO,Ouray County,"$7,064 "
89093,CO,Park County,"$15,115 "
89095,CO,Phillips County,"$11,293 "
89097,CO,Pitkin County,"$18,093 "
89099,CO,Prowers County,"$33,335 "
89101,CO,Pueblo County,"$46,373 "
89103,CO,Rio Blanco County,"$7,598 "
89105,CO,Rio Grande County,"$26,289 "
89107,CO,Routt County,"$22,386 "
89109,CO,Saguache County,"$16,114 "
89111,CO,San Juan County,"$4,051 "
89113,CO,San Miguel County,"$11,479 "
89115,CO,Sedgwick County,"$8,477 "
89117,CO,Summit County,"$34,183 "
89119,CO,Teller County,"$22,053 "
89121,CO,Washington County,"$12,436 "
89123,CO,Weld County,"$173,913 "
89125,CO,Yuma County,"$23,777 "
90102,CT,BRIDGEPORT,"$1,609,396 "
90114,CT,BRISTOL,"$113,976 "
90258,CT,DANBURY,"$112,266 "
90336,CT,EAST HARTFORD,"$118,775 "
90390,CT,FAIRFIELD,"$101,292 "
90438,CT,GREENWICH,"$170,923 "
90480,CT,HAMDEN TOWN,"$98,403 "
90492,CT,HARTFORD,"$1,862,792 "
90594,CT,MANCHESTER,"$120,536 "
90612,CT,MERIDEN,"$167,520 "
90630,CT,MIDDLETOWN,"$75,387 "
90636,CT,MILFORD TOWN,"$95,056 "
90696,CT,NEW BRITAIN,"$918,107 "
90726,CT,NEW HAVEN,"$1,798,025 "
90738,CT,NEW LONDON,"$159,935 "
90810,CT,NORWALK,"$176,343 "
90816,CT,NORWICH,"$180,502 "
91074,CT,STAMFORD,"$207,326 "
91104,CT,STRATFORD,"$126,286 "
91194,CT,WATERBURY,"$1,112,039 "
91230,CT,WEST HARTFORD,"$199,006 "
91236,CT,WEST HAVEN,"$132,795 "
99001,CT,Fairfield County,"$295,652 "
99003,CT,Hartford County,"$503,061 "
99005,CT,Litchfield County,"$310,833 "
99007,CT,Middlesex County,"$150,096 "
99009,CT,New Haven County,"$459,946 "
99011,CT,New London County,"$271,433 "
99013,CT,Tolland County,"$201,946 "
99015,CT,Windham County,"$249,177 "
100090,DE,DOVER,"$49,099 "
100336,DE,WILMINGTON,"$1,189,657 "
109001,DE,Kent County,"$132,871 "
109003,DE,NEW CASTLE COUNTY,"$1,146,801 "
109005,DE,Sussex County,"$238,503 "
110006,DC,DISTRICT OF COLUMBIA,"$8,732,952 "
120234,FL,BOCA RATON,"$85,346 "
120264,FL,BOYNTON BEACH,"$95,026 "
120270,FL,BRADENTON,"$86,046 "
120402,FL,CAPE CORAL,"$123,801 "
120492,FL,CLEARWATER,"$166,174 "
120516,FL,COCOA,"$40,868 "
120534,FL,COCONUT CREEK,"$50,499 "
120588,FL,CORAL SPRINGS,"$161,388 "
120684,FL,DAVIE,"$118,424 "
120690,FL,DAYTONA BEACH,"$146,304 "
120708,FL,DEERFIELD BEACH,"$132,660 "
120732,FL,DELRAY BEACH,"$103,802 "
120738,FL,DELTONA,"$89,208 "
120954,FL,FT LAUDERDALE,"$997,500 "
120966,FL,FT MYERS,"$135,026 "
120996,FL,FORT PIERCE,"$123,918 "
121008,FL,FORT WALTON BEACH,"$25,092 "
121038,FL,GAINESVILLE,"$249,401 "
121236,FL,HIALEAH,"$2,037,112 "
121320,FL,HOLLYWOOD,"$270,184 "
121344,FL,HOMESTEAD CITY,"$143,368 "
121572,FL,KISSIMMEE,"$110,267 "
121662,FL,LAKELAND,"$139,090 "
121710,FL,LARGO,"$83,355 "
121728,FL,LAUDERHILL,"$167,290 "
121874,FL,MARCO ISLAND CITY,"$12,785 "
121878,FL,MARGATE,"$74,121 "
121926,FL,MELBOURNE,"$99,933 "
121968,FL,MIAMI,"$4,012,860 "
121974,FL,MIAMI BEACH,"$840,962 "
121976,FL,MIAMI GARDENS CITY,"$250,567 "
122022,FL,MIRAMAR,"$139,250 "
122064,FL,NAPLES,"$20,093 "
122142,FL,NORTH MIAMI,"$221,051 "
122214,FL,OCALA,"$87,719 "
122292,FL,ORLANDO,"$1,094,580 "
122358,FL,PALM BAY,"$110,955 "
122406,FL,PANAMA CITY,"$74,688 "
122448,FL,PEMBROKE PINES,"$157,176 "
122466,FL,PENSACOLA,"$175,069 "
122514,FL,PLANTATION,"$91,948 "
122538,FL,POMPANO BEACH,"$219,692 "
122568,FL,PORT ORANGE,"$50,646 "
122586,FL,PORT ST LUCIE,"$124,844 "
122598,FL,PUNTA GORDA,"$14,398 "
122724,FL,ST PETERSBURG,"$1,065,685 "
122754,FL,SANFORD,"$80,264 "
122766,FL,SARASOTA,"$100,284 "
122808,FL,SEBASTIAN CITY,"$16,535 "
122958,FL,SUNRISE,"$131,032 "
123000,FL,TALLAHASSEE,"$932,391 "
123006,FL,TAMARAC,"$74,836 "
123012,FL,TAMPA,"$1,812,357 "
123048,FL,TITUSVILLE,"$60,527 "
123252,FL,WEST PALM BEACH,"$196,355 "
123342,FL,WINTER HAVEN,"$49,367 "
129001,FL,Alachua County,"$241,441 "
129003,FL,Baker County,"$43,705 "
129005,FL,Bay County,"$182,335 "
129007,FL,Bradford County,"$52,403 "
129009,FL,Brevard County,"$273,339 "
129011,FL,BROWARD COUNTY,"$1,771,436 "
129013,FL,Calhoun County,"$34,593 "
129015,FL,Charlotte County,"$154,113 "
129017,FL,Citrus County,"$168,325 "
129019,FL,Clay County,"$172,032 "
129021,FL,COLLIER COUNTY,"$1,042,165 "
129023,FL,Columbia County,"$107,641 "
129027,FL,DeSoto County,"$95,573 "
129029,FL,Dixie County,"$28,940 "
129031,FL,JACKSONVILLE-DUVAL COUNT,"$3,265,781 "
129033,FL,ESCAMBIA COUNTY,"$1,007,222 "
129035,FL,Flagler County,"$75,373 "
129037,FL,Franklin County,"$39,529 "
