"","UOGID","locale","my_formula","allocation","formula_difference","pct_change"
"353","729021","BAYAMON MUNICIPIO",995774,1005178,-9404.46981609333,-0.935602432215322
"354","729025","CAGUAS MUNICIPIO",651279,658415,-7135.90058584593,-1.08379982015081
"355","729031","CAROLINA MUNICIPIO",770066,777012,-6946.0512010823,-0.893943877453926
"356","729113","PONCE MUNICIPIO",966089,975723,-9634.21745360503,-0.987392677389488
"357","729127","SAN JUAN MUNICIPIO",3858495,3892454,-33958.9940198283,-0.872431479468435
"358","729999","PUERTO RICO NONENTITLEMENT",14809440,14951925,-142484.784778835,-0.952952778848444
"359","600001","AMERICAN SAMOAS",NA,796914,NA,NA
"360","660001","GUAM",NA,2630542,NA,NA
"361","690001","NORTHERN MARIANA ISLANDS",NA,815225,NA,NA
"362","780001","VIRGIN ISLANDS",NA,1677320,NA,NA
